Lung_weight,Lung_weight_x_100,Mouse_ID,Day.x,Eotaxin (74),G-CSF (54),GM-CSF (73),IFNg (34),IL-10 (56),IL-12p40 (76),IL-12p70 (78),IL-13 (37),IL-17A (72),IL-1a (53),IL-1b (19),IL-2 (36),IL-3 (18),IL-4 (39),IL-5 (52),IL-6 (38),IL-9 (33),KC (57),MCP-1 (51),MIP-1B (75),MIP-1a (77),RANTES (55),TNFa (21),Day.y,BAL Cell counts,Hysteresis,BAL protein,Viral Burden,Days,Day 3,Day 4,Day 5,Day 7,Day 8
39.4,0.0394,52,5,4237.055838,43.14720812,0,110.6598985,0,1866.497462,1478.172589,262.9441624,36.54822335,104.0609137,11.16751269,86.54822335,8.121827411,8.883248731,25.12690355,177.9187817,0,362.1827411,3279.187817,1802.284264,249.2385787,10681.9797,276.9035533,Day 5,40000,1.416900071,204.5833333,213778.1105,Day 5,108.0745342,111.8012422,116.1490683,0,0
41.3,0.0413,53,5,5948.184019,192.9782082,0,280.62954,60.7748184,807.2639225,1445.27845,529.5399516,53.02663438,250.1210654,39.2251816,292.0096852,25.90799031,30.75060533,53.51089588,165.1331719,647.2154964,655.6900726,5314.527845,1771.670702,222.5181598,18407.26392,421.0653753,Day 5,90000,0.807193685,294.5833333,7947.422302,Day 5,111.7647059,115.4411765,119.1176471,0,0
46.8,0.0468,54,5,2320.726496,0,0,0,0,2021.153846,1057.051282,221.3675214,21.79487179,68.8034188,9.401709402,52.35042735,0.427350427,0,7.692307692,78.20512821,0,434.1880342,2760.683761,952.7777778,138.034188,10583.11966,162.1794872,Day 5,90000,1.358972138,119.5833333,232491.6422,Day 5,114.1935484,121.2903226,119.3548387,0,0
35.7,0.0357,55,5,2973.669468,47.61904762,0,162.1848739,0,4435.294118,1508.683473,290.1960784,37.81512605,160.2240896,12.32492997,49.85994398,6.162464986,9.803921569,67.5070028,180.3921569,0,912.8851541,4570.868347,1038.655462,157.1428571,6691.876751,259.3837535,Day 5,210000,1.386489349,209.1666667,12085.27025,Day 5,117.2972973,118.9189189,120,0,0
27.4,0.0274,56,5,2756.934307,0,0,105.1094891,0,2333.211679,1751.824818,378.1021898,55.83941606,78.46715328,4.744525547,52.55474453,21.89781022,0,28.46715328,178.1021898,0,263.5036496,0,1205.839416,214.9635036,12339.41606,277.0072993,Day 5,70000,1.306492957,309.1666667,7208840.093,Day 5,107.3619632,107.3619632,107.9754601,0,0
38.5,0.0385,57,5,4783.116883,937.6623377,0,213.5064935,240.5194805,18830.90909,1814.805195,608.5714286,37.4025974,330.3896104,146.4935065,151.6883117,49.09090909,60.51948052,98.7012987,1019.220779,288.3116883,2711.688312,49747.53247,19135.06494,3718.181818,60328.83117,283.3766234,Day 5,880000,1.218947334,466.6666667,1685990412,Day 5,114.3884892,118.705036,117.9856115,0,0
37.6,0.0376,58,5,7654.521277,3548.138298,411.7021277,334.5744681,339.3617021,18531.91489,2166.489362,539.893617,48.40425532,778.7234043,160.6382979,139.6276596,33.24468085,56.38297872,178.7234043,2140.425532,295.212766,14557.44681,56445.21277,16723.1383,3006.914894,30451.59574,419.9468085,Day 5,90000,1.375343404,160,18903781.83,Day 5,110.9677419,117.4193548,117.4193548,0,0
30.6,0.0306,59,5,6078.431373,0,0,136.2745098,0,3395.424837,1568.627451,450.6535948,74.83660131,110.130719,24.18300654,151.6339869,25.81699346,19.28104575,52.2875817,185.2941176,0,763.0718954,4982.352941,1367.647059,213.3986928,18880.71895,302.6143791,Day 5,70000,1.522849741,89.58333333,68831.15866,Day 5,113.836478,119.4968553,117.6100629,0,0
29.6,0.0296,60,5,4234.121622,168.5810811,0,219.2567568,271.2837838,11503.37838,2065.878378,465.8783784,67.56756757,169.5945946,44.93243243,136.1486486,17.22972973,27.7027027,67.56756757,293.5810811,0,2061.486486,10462.16216,7134.121622,2425.675676,22949.32432,256.4189189,Day 5,60000,1.040952825,225,43979.92169,Day 5,112.9496403,118.705036,122.3021583,0,0
45,0.045,61,8,12058.44444,1831.777778,211.7777778,212.8888889,150,7994.222222,1180.666667,451.1111111,32,387.1111111,155.3333333,110,21.55555556,114.2222222,526.6666667,926.8888889,187.5555556,5044.888889,13097.77778,11284.88889,1466.888889,56136.66667,260.6666667,Day 8,12500,1.361852674,532.0833333,2.395061845,Day 8,121.6049383,122.8395062,127.7777778,135.8024691,137.037037
